the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               12                1000      0.269       0.00        0.04           0.453       0.262       0.552     
2          2               24                1000      0.271       0.01        0.09           0.319       0.260       0.569     
4          4               48                1000      0.272       0.01        0.18           0.538       0.266       0.479     
8          8               96                1000      0.276       0.03        0.35           0.410       0.266       0.548     
16         16              192               1000      0.283       0.06        0.68           0.449       0.277       0.487     
32         32              384               1000      0.298       0.11        1.29           0.538       0.287       0.521     
64         64              768               1000      0.327       0.20        2.35           0.383       0.317       0.516     
128        128             1536              1000      0.403       0.32        3.81           0.668       0.389       0.622     
256        256             3072              1000      0.553       0.46        5.55           7.280       0.535       0.726     
512        512             6144              1000      0.857       0.60        7.17           0.939       0.847       1.166     
1024       1024            12288             1000      1.445       0.71        8.51           1.559       1.428       1.953     
2048       2048            24576             1000      2.725       0.75        9.02           9.127       2.599       3.284     
4096       4096            49152             1000      5.084       0.81        9.67           5.561       4.948       5.181     
8192       8192            98304             1000      10.173      0.81        9.66           18.533      9.767       10.610    
16384      16384           196608            1000      19.595      0.84        10.03          28.870      19.167      21.189    
32768      32768           393216            1000      37.723      0.87        10.42          43.777      37.585      38.239    
65536      65536           786432            1000      75.041      0.87        10.48          81.618      74.862      75.864    
131072     131072          1572864           1000      149.582     0.88        10.52          156.863     149.329     150.239   
262144     262144          3145728           1000      298.836     0.88        10.53          310.214     298.366     299.716   
524288     524288          6291456           1000      598.576     0.88        10.51          611.056     596.993     599.383   
1048576    1048576         12582912          1000      1194.829    0.88        10.53          1205.658    1193.039    1193.775  

