the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点�?    计算�?         总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          6               24                1000      0.176       0.03        0.14           0.320       0.100       0.320     
2          12              48                1000      0.157       0.08        0.31           0.280       0.080       0.680     
4          24              96                1000      0.162       0.15        0.59           0.580       0.120       0.840     
8          48              192               1000      0.165       0.29        1.16           0.480       0.100       0.400     
16         96              384               1000      0.181       0.53        2.12           0.340       0.140       0.200     
32         192             768               1000      0.196       0.98        3.92           0.320       0.140       0.780     
64         384             1536              1000      0.256       1.50        5.99           0.720       0.200       0.480     
128        768             3072              1000      0.340       2.26        9.04           7.360       0.300       0.820     
256        1536            6144              1000      0.588       2.61        10.45          0.800       0.540       1.560     
512        3072            12288             1000      1.195       2.57        10.28          1.580       1.140       1.920     
1024       6144            24576             1000      2.045       3.00        12.02          2.900       1.900       4.760     
2048       12288           49152             1000      3.987       3.08        12.33          69.280      3.780       9.200     
4096       24576           98304             1000      7.796       3.15        12.61          23.280      7.380       17.620    
8192       49152           196608            1000      2606.041    0.02        0.08           20308.000   34.360      13444.400 
16384      98304           393216            1000      74.648      1.32        5.27           3006.880    52.360      64.260    
32768      196608          786432            1000      227.937     0.86        3.45           15615.600   92.740      134.560   
65536      393216          1572864           1000      259.512     1.52        6.06           4744.920    233.940     239.480   
131072     786432          3145728           1000      3362.418    0.23        0.94           25328.020   491.100     479.320   
262144     1572864         6291456           1000      1149.890    1.37        5.47           22829.120   982.380     994.920   
524288     3145728         12582912          1000      2276.803    1.38        5.53           20357.660   2068.680    5750.940  
1048576    6291456         25165824          1000      5754.006    1.09        4.37           26947.640   5205.720    87827.260 

