the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               12                1000      0.091       0.01        0.13           0.301       0.085       0.411     
2          2               24                1000      0.095       0.02        0.25           0.342       0.091       0.138     
4          4               48                1000      0.102       0.04        0.47           0.319       0.096       0.151     
8          8               96                1000      0.119       0.07        0.81           0.372       0.114       0.404     
16         16              192               1000      0.160       0.10        1.20           7.109       0.146       0.235     
32         32              384               1000      0.231       0.14        1.66           0.488       0.209       0.304     
64         64              768               1000      0.385       0.17        1.99           0.627       0.365       0.440     
128        128             1536              1000      0.703       0.18        2.18           1.032       0.668       0.741     
256        256             3072              1000      1.283       0.20        2.39           1.540       1.238       1.607     
512        512             6144              1000      2.501       0.20        2.46           2.810       2.446       2.517     
1024       1024            12288             1000      4.941       0.21        2.49           5.275       4.753       5.011     
2048       2048            24576             1000      9.885       0.21        2.49           10.274      9.677       9.589     
4096       4096            49152             1000      19.675      0.21        2.50           24.255      19.468      19.853    
8192       8192            98304             1000      39.153      0.21        2.51           41.879      36.608      38.181    
16384      16384           196608            1000      78.250      0.21        2.51           84.973      71.501      75.608    
32768      32768           393216            1000      160.556     0.20        2.45           175.128     149.683     166.222   
65536      65536           786432            1000      309.145     0.21        2.54           331.441     284.203     296.419   
131072     131072          1572864           1000      643.532     0.20        2.44           661.563     599.284     658.235   
262144     262144          3145728           1000      1531.276    0.17        2.05           2152.862    1241.664    1409.760  
524288     524288          6291456           1000      3115.292    0.17        2.02           4366.522    2504.551    3223.144  
1048576    1048576         12582912          1000      6592.457    0.16        1.91           8930.493    4839.854    5587.919  

