the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               12                1000      0.075       0.01        0.16           0.108       0.073       0.414     
2          2               24                1000      0.076       0.03        0.32           0.122       0.074       0.270     
4          4               48                1000      0.078       0.05        0.61           0.129       0.077       0.139     
8          8               96                1000      0.081       0.10        1.19           0.132       0.080       0.115     
16         16              192               1000      0.088       0.18        2.17           0.098       0.087       0.301     
32         32              384               1000      0.101       0.32        3.79           0.155       0.100       0.151     
64         64              768               1000      0.130       0.49        5.93           0.183       0.126       0.166     
128        128             1536              1000      0.181       0.71        8.49           0.223       0.176       0.226     
256        256             3072              1000      0.289       0.89        10.63          5.988       0.278       0.324     
512        512             6144              1000      0.493       1.04        12.47          0.548       0.482       0.607     
1024       1024            12288             1000      0.894       1.15        13.74          0.943       0.889       0.956     
2048       2048            24576             1000      1.741       1.18        14.12          5.334       1.706       1.957     
4096       4096            49152             1000      3.416       1.20        14.39          3.594       3.355       3.869     
8192       8192            98304             1000      6.828       1.20        14.40          7.158       6.656       8.763     
16384      16384           196608            1000      13.300      1.23        14.78          13.742      13.180      14.319    
32768      32768           393216            1000      30.497      1.07        12.89          35.517      30.074      33.294    
65536      65536           786432            1000      61.901      1.06        12.70          68.486      61.249      66.372    
131072     131072          1572864           1000      147.221     0.89        10.68          173.176     144.564     157.160   
262144     262144          3145728           1000      366.006     0.72        8.59           393.109     310.425     321.386   
524288     524288          6291456           1000      964.947     0.54        6.52           989.224     949.525     973.885   
1048576    1048576         12582912          1000      1372.583    0.76        9.17           1392.133    1356.315    1377.377  

