the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          2               8                 1000      0.131       0.02        0.06           0.318       0.109       0.203     
2          4               16                1000      0.117       0.03        0.14           0.410       0.109       0.407     
4          8               32                1000      0.118       0.07        0.27           0.316       0.115       0.435     
8          16              64                1000      0.119       0.13        0.54           0.496       0.112       0.453     
16         32              128               1000      0.118       0.27        1.08           0.392       0.114       0.327     
32         64              256               1000      0.119       0.54        2.15           0.497       0.115       0.371     
64         128             512               1000      0.122       1.05        4.19           0.494       0.115       0.326     
128        256             1024              1000      0.131       1.96        7.83           0.335       0.122       0.237     
256        512             2048              1000      0.147       3.47        13.90          0.566       0.137       0.298     
512        1024            4096              1000      0.185       5.54        22.17          0.472       0.171       0.372     
1024       2048            8192              1000      0.286       7.16        28.65          0.490       0.261       0.363     
2048       4096            16384             1000      0.430       9.53        38.13          1.017       0.402       1.230     
4096       8192            32768             1000      0.800       10.24       40.94          6.465       0.771       2.007     
8192       16384           65536             1000      1.917       8.55        34.18          3.130       1.510       4.286     
16384      32768           131072            1000      4.539       7.22        28.88          12.281      3.756       9.804     
32768      65536           262144            1000      15.601      4.20        16.80          26.004      9.887       23.663    
65536      131072          524288            1000      41.653      3.15        12.59          51.330      38.774      47.629    
131072     262144          1048576           1000      88.565      2.96        11.84          99.080      86.397      94.998    
262144     524288          2097152           1000      180.608     2.90        11.61          192.429     178.705     186.036   
524288     1048576         4194304           1000      368.279     2.85        11.39          382.676     365.670     379.892   
1048576    2097152         8388608           1000      760.345     2.76        11.03          777.520     751.459     775.958   

