the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点�?    计算�?         总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          6               24                1000      0.055       0.11        0.44           0.080       0.040       0.080     
2          12              48                1000      0.050       0.24        0.95           0.060       0.040       0.060     
4          24              96                1000      0.052       0.46        1.85           0.080       0.040       0.120     
8          48              192               1000      0.055       0.87        3.47           0.060       0.040       0.100     
16         96              384               1000      0.059       1.63        6.51           0.060       0.040       0.100     
32         192             768               1000      0.069       2.78        11.12          0.100       0.060       0.200     
64         384             1536              1000      0.089       4.30        17.19          0.140       0.080       0.180     
128        768             3072              1000      0.129       5.95        23.80          0.140       0.120       0.420     
256        1536            6144              1000      0.232       6.63        26.52          0.260       0.220       0.740     
512        3072            12288             1000      0.386       7.97        31.86          0.420       0.380       0.920     
1024       6144            24576             1000      0.827       7.43        29.71          11.000      0.800       2.620     
2048       12288           49152             1000      1.622       7.57        30.30          1.840       1.580       7.100     
4096       24576           98304             1000      4.912       5.00        20.01          22.760      4.860       13.320    
8192       49152           196608            1000      10.147      4.84        19.38          34.260      9.440       27.420    
16384      98304           393216            1000      22.189      4.43        17.72          45.060      20.100      53.660    
32768      196608          786432            1000      43.311      4.54        18.16          96.520      37.000      155.180   
65536      393216          1572864           1000      109.298     3.60        14.39          289.680     77.060      282.680   
131072     786432          3145728           1000      294.909     2.67        10.67          483.120     278.480     443.160   
262144     1572864         6291456           1000      739.191     2.13        8.51           839.820     728.480     814.940   
524288     3145728         12582912          1000      1904.860    1.65        6.61           1992.500    1887.080    1936.520  
1048576    6291456         25165824          1000      3556.554    1.77        7.08           3724.960    3532.840    4435.840  

