the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               12                1000      0.099       0.01        0.12           0.200       0.040       0.060     
2          2               24                1000      0.112       0.02        0.21           0.200       0.040       0.100     
4          4               48                1000      0.116       0.03        0.42           0.240       0.040       0.300     
8          8               96                1000      0.081       0.10        1.18           0.180       0.040       0.220     
16         16              192               1000      0.085       0.19        2.26           0.200       0.040       0.280     
32         32              384               1000      0.097       0.33        3.98           0.180       0.060       0.620     
64         64              768               1000      0.110       0.58        6.95           0.220       0.080       0.320     
128        128             1536              1000      0.134       0.96        11.49          0.340       0.100       0.340     
256        256             3072              1000      0.211       1.21        14.55          0.360       0.160       0.720     
512        512             6144              1000      0.313       1.64        19.64          0.480       0.280       0.620     
1024       1024            12288             1000      0.511       2.01        24.06          0.700       0.480       1.560     
2048       2048            24576             1000      2.302       0.89        10.68          9.200       1.520       3.640     
4096       4096            49152             1000      2.588       1.58        18.99          3.720       2.500       7.620     
8192       8192            98304             1000      5.206       1.57        18.88          11.200      5.000       15.440    
16384      16384           196608            1000      10.611      1.54        18.53          25.780      10.180      39.620    
32768      32768           393216            1000      20.104      1.63        19.56          60.920      19.320      70.400    
65536      65536           786432            1000      97.326      0.67        8.08           140.540     90.200      118.660   
131072     131072          1572864           1000      234.009     0.56        6.72           256.900     227.280     241.760   
262144     262144          3145728           1000      522.518     0.50        6.02           544.640     513.080     501.680   
524288     524288          6291456           1000      1006.772    0.52        6.25           1614.640    986.140     999.780   
1048576    1048576         12582912          1000      2289.110    0.46        5.50           2405.580    2223.420    2309.080  

