the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.075       0.01        0.11           0.084       0.075       0.475     
2          2               16                1000      0.075       0.03        0.21           0.086       0.074       0.427     
4          4               32                1000      0.075       0.05        0.43           0.084       0.075       0.311     
8          8               64                1000      0.076       0.11        0.84           0.086       0.076       0.296     
16         16              128               1000      0.079       0.20        1.63           0.087       0.078       0.136     
32         32              256               1000      0.081       0.39        3.16           0.095       0.081       0.325     
64         64              512               1000      0.084       0.76        6.12           0.090       0.083       0.320     
128        128             1024              1000      0.093       1.38        11.01          0.099       0.093       0.151     
256        256             2048              1000      0.112       2.29        18.28          0.123       0.112       0.222     
512        512             4096              1000      0.150       3.41        27.30          0.162       0.150       0.610     
1024       1024            8192              1000      0.227       4.51        36.09          0.237       0.226       0.373     
2048       2048            16384             1000      0.380       5.39        43.11          0.390       0.380       0.922     
4096       4096            32768             1000      0.685       5.98        47.84          0.697       0.685       1.272     
8192       8192            65536             1000      1.296       6.32        50.56          1.319       1.296       2.257     
16384      16384           131072            1000      2.524       6.49        51.93          2.814       2.523       3.761     
32768      32768           262144            1000      4.283       7.65        61.20          4.637       4.276       8.006     
65536      65536           524288            1000      8.556       7.66        61.28          19.092      8.467       16.249    
131072     131072          1048576           1000      20.883      6.28        50.21          28.522      19.939      33.086    
262144     262144          2097152           1000      43.680      6.00        48.01          64.892      40.979      65.835    
524288     524288          4194304           1000      96.274      5.45        43.57          158.166     83.476      196.665   
1048576    1048576         8388608           1000      222.769     4.71        37.66          350.564     174.837     324.091   

