the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          2               8                 1000      0.097       0.02        0.08           0.290       0.086       0.328     
2          4               16                1000      0.096       0.04        0.17           0.295       0.080       0.175     
4          8               32                1000      0.099       0.08        0.32           0.116       0.086       0.274     
8          16              64                1000      0.102       0.16        0.63           0.292       0.091       0.220     
16         32              128               1000      0.095       0.34        1.34           0.223       0.080       0.250     
32         64              256               1000      0.094       0.68        2.72           0.310       0.079       0.320     
64         128             512               1000      0.095       1.35        5.39           0.293       0.094       0.197     
128        256             1024              1000      0.102       2.51        10.05          0.131       0.091       0.280     
256        512             2048              1000      0.120       4.25        17.02          0.228       0.110       0.321     
512        1024            4096              1000      0.159       6.44        25.75          0.365       0.152       0.351     
1024       2048            8192              1000      0.252       8.12        32.47          0.429       0.235       0.539     
2048       4096            16384             1000      0.419       9.78        39.13          0.461       0.400       0.680     
4096       8192            32768             1000      0.759       10.80       43.18          0.977       0.741       1.463     
8192       16384           65536             1000      1.532       10.69       42.77          2.612       1.488       2.211     
16384      32768           131072            1000      4.183       7.83        31.34          1177.027    2.891       4.784     
32768      65536           262144            1000      6.601       9.93        39.71          9.110       6.272       9.127     
65536      131072          524288            1000      14.391      9.11        36.43          320.282     13.737      17.632    
131072     262144          1048576           1000      30.012      8.73        34.94          39.325      29.474      39.186    
262144     524288          2097152           1000      61.279      8.56        34.22          69.852      60.081      82.310    
524288     1048576         4194304           1000      144.742     7.24        28.98          273.307     135.609     181.843   
1048576    2097152         8388608           1000      420.522     4.99        19.95          483.042     406.808     430.976   

