the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               12                1000      0.079       0.01        0.15           0.383       0.075       0.299     
2          2               24                1000      0.080       0.03        0.30           0.300       0.077       0.104     
4          4               48                1000      0.078       0.05        0.61           0.294       0.077       0.442     
8          8               96                1000      0.081       0.10        1.18           0.301       0.080       0.087     
16         16              192               1000      0.087       0.18        2.21           0.297       0.086       0.114     
32         32              384               1000      0.097       0.33        3.95           0.279       0.097       0.106     
64         64              768               1000      0.124       0.52        6.20           0.298       0.121       0.186     
128        128             1536              1000      0.176       0.73        8.73           0.529       0.172       0.183     
256        256             3072              1000      0.274       0.93        11.20          0.404       0.268       0.585     
512        512             6144              1000      0.461       1.11        13.34          0.700       0.443       0.476     
1024       1024            12288             1000      0.831       1.23        14.79          0.983       0.797       0.860     
2048       2048            24576             1000      1.560       1.31        15.76          2.037       1.490       1.739     
4096       4096            49152             1000      3.115       1.31        15.78          4.280       3.007       3.900     
8192       8192            98304             1000      6.769       1.21        14.52          7.536       6.079       14.668    
16384      16384           196608            1000      13.636      1.20        14.42          14.946      12.827      18.995    
32768      32768           393216            1000      53.209      0.62        7.39           66.373      46.694      70.844    
65536      65536           786432            1000      225.209     0.29        3.49           237.094     207.513     240.601   
131072     131072          1572864           1000      517.567     0.25        3.04           524.273     514.564     516.931   
262144     262144          3145728           1000      770.254     0.34        4.08           945.936     522.900     676.446   
524288     524288          6291456           1000      1965.374    0.27        3.20           2074.992    1918.346    1972.875  
1048576    1048576         12582912          1000      3951.389    0.27        3.18           3964.085    3943.620    3952.645  

