the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          2               8                 1000      0.107       0.02        0.07           0.312       0.102       0.745     
2          4               16                1000      0.110       0.04        0.15           0.331       0.103       0.466     
4          8               32                1000      0.107       0.08        0.30           0.322       0.103       0.138     
8          16              64                1000      0.113       0.14        0.57           0.513       0.105       0.321     
16         32              128               1000      0.113       0.28        1.13           0.498       0.109       0.378     
32         64              256               1000      0.122       0.52        2.10           0.528       0.116       0.290     
64         128             512               1000      0.145       0.88        3.54           0.545       0.137       0.195     
128        256             1024              1000      0.188       1.36        5.45           0.594       0.181       0.349     
256        512             2048              1000      0.276       1.85        7.41           0.670       0.268       0.341     
512        1024            4096              1000      0.463       2.21        8.86           8.982       0.444       0.791     
1024       2048            8192              1000      0.802       2.55        10.21          1.364       0.792       1.605     
2048       4096            16384             1000      1.522       2.69        10.77          2.366       1.509       2.156     
4096       8192            32768             1000      3.231       2.54        10.14          4.112       3.044       4.184     
8192       16384           65536             1000      6.983       2.35        9.39           8.221       5.896       9.895     
16384      32768           131072            1000      18.526      1.77        7.07           25.826      13.917      25.495    
32768      65536           262144            1000      45.196      1.45        5.80           53.699      42.064      48.949    
65536      131072          524288            1000      92.646      1.41        5.66           104.140     90.277      96.907    
131072     262144          1048576           1000      183.006     1.43        5.73           195.404     181.459     185.698   
262144     524288          2097152           1000      372.301     1.41        5.63           390.573     370.779     376.339   
524288     1048576         4194304           1000      751.557     1.40        5.58           767.699     748.948     765.130   
1048576    2097152         8388608           1000      852.001     2.46        9.85           871.485     843.265     852.167   

