the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.075       0.01        0.11           0.335       0.073       0.111     
2          2               16                1000      0.075       0.03        0.21           0.230       0.073       0.475     
4          4               32                1000      0.077       0.05        0.42           0.282       0.074       0.302     
8          8               64                1000      0.079       0.10        0.81           0.298       0.075       0.088     
16         16              128               1000      0.083       0.19        1.54           0.215       0.077       0.302     
32         32              256               1000      0.097       0.33        2.64           7.196       0.085       0.495     
64         64              512               1000      0.091       0.70        5.63           0.270       0.086       0.107     
128        128             1024              1000      0.098       1.31        10.44          0.329       0.092       0.371     
256        256             2048              1000      0.112       2.30        18.36          0.486       0.106       0.336     
512        512             4096              1000      0.151       3.38        27.08          8.402       0.137       0.323     
1024       1024            8192              1000      0.209       4.90        39.18          0.366       0.203       0.593     
2048       2048            16384             1000      0.341       6.00        48.00          0.692       0.334       1.646     
4096       4096            32768             1000      0.649       6.31        50.49          1.200       0.618       2.228     
8192       8192            65536             1000      1.384       5.92        47.34          2.031       1.168       4.454     
16384      16384           131072            1000      3.650       4.49        35.91          8.408       3.098       8.523     
32768      32768           262144            1000      11.747      2.79        22.32          16.187      10.788      18.134    
65536      65536           524288            1000      31.063      2.11        16.88          38.834      29.486      35.295    
131072     131072          1048576           1000      70.891      1.85        14.79          81.037      68.079      75.990    
262144     262144          2097152           1000      152.125     1.72        13.79          163.846     149.706     155.899   
524288     524288          4194304           1000      312.202     1.68        13.43          325.716     308.343     331.021   
1048576    1048576         8388608           1000      428.027     2.45        19.60          447.570     422.374     449.095   

