the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               12                1000      0.180       0.01        0.07           0.554       0.174       0.935     
2          2               24                1000      0.181       0.01        0.13           0.401       0.175       0.586     
4          4               48                1000      0.183       0.02        0.26           0.373       0.175       0.440     
8          8               96                1000      0.182       0.04        0.53           0.403       0.168       0.420     
16         16              192               1000      0.184       0.09        1.04           0.454       0.177       0.819     
32         32              384               1000      0.189       0.17        2.03           0.437       0.182       0.745     
64         64              768               1000      0.196       0.33        3.92           0.439       0.187       0.587     
128        128             1536              1000      0.206       0.62        7.45           0.397       0.199       0.718     
256        256             3072              1000      0.230       1.12        13.38          0.510       0.221       0.828     
512        512             6144              1000      0.281       1.82        21.84          0.564       0.265       0.675     
1024       1024            12288             1000      0.409       2.51        30.06          0.736       0.377       1.531     
2048       2048            24576             1000      0.614       3.33        40.00          1.051       0.577       1.861     
4096       4096            49152             1000      1.379       2.97        35.64          2.110       1.055       2.339     
8192       8192            98304             1000      2.803       2.92        35.07          4.120       2.309       7.611     
16384      16384           196608            1000      7.312       2.24        26.89          11.366      6.422       12.906    
32768      32768           393216            1000      24.303      1.35        16.18          32.266      21.825      31.685    
65536      65536           786432            1000      59.954      1.09        13.12          70.907      57.080      63.992    
131072     131072          1572864           1000      129.544     1.01        12.14          144.247     125.616     127.899   
262144     262144          3145728           1000      257.623     1.02        12.21          272.847     253.659     255.665   
524288     524288          6291456           1000      543.034     0.97        11.59          582.099     522.816     569.218   
1048576    1048576         12582912          1000      820.884     1.28        15.33          839.284     811.245     826.092   

