the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          2               8                 1000      0.149       0.01        0.05           0.340       0.060       0.500     
2          4               16                1000      0.154       0.03        0.10           2.460       0.080       0.280     
4          8               32                1000      0.169       0.05        0.19           0.400       0.080       0.540     
8          16              64                1000      0.168       0.10        0.38           0.480       0.100       0.360     
16         32              128               1000      0.163       0.20        0.78           0.340       0.080       0.480     
32         64              256               1000      0.166       0.39        1.54           0.620       0.080       1.060     
64         128             512               1000      0.151       0.85        3.38           0.440       0.080       0.400     
128        256             1024              1000      0.157       1.63        6.52           0.320       0.120       0.220     
256        512             2048              1000      0.217       2.36        9.46           0.540       0.180       0.360     
512        1024            4096              1000      0.282       3.64        14.55          0.600       0.260       1.100     
1024       2048            8192              1000      0.495       4.14        16.56          0.900       0.460       1.880     
2048       4096            16384             1000      1.050       3.90        15.61          1.840       1.000       4.800     
4096       8192            32768             1000      2.808       2.92        11.67          3.500       2.700       11.260    
8192       16384           65536             1000      4.560       3.59        14.37          11.340      4.420       19.420    
16384      32768           131072            1000      9.724       3.37        13.48          17.480      9.420       52.000    
32768      65536           262144            1000      18.523      3.54        14.15          37.420      17.260      84.180    
65536      131072          524288            1000      52.394      2.50        10.01          139.600     50.420      251.140   
131072     262144          1048576           1000      249.536     1.05        4.20           370.100     233.320     375.560   
262144     524288          2097152           1000      741.460     0.71        2.83           858.040     407.320     792.500   
524288     1048576         4194304           1000      697.959     1.50        6.01           743.760     686.020     674.520   
1048576    2097152         8388608           1000      1297.774    1.62        6.46           1414.360    1283.220    1291.360  

