the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.090       0.01        0.09           0.302       0.080       0.379     
2          2               16                1000      0.093       0.02        0.17           0.149       0.082       0.284     
4          4               32                1000      0.094       0.04        0.34           0.243       0.081       0.204     
8          8               64                1000      0.084       0.10        0.76           0.095       0.079       0.303     
16         16              128               1000      0.085       0.19        1.51           0.135       0.078       0.136     
32         32              256               1000      0.088       0.36        2.91           0.239       0.078       0.599     
64         64              512               1000      0.089       0.72        5.76           0.219       0.083       0.184     
128        128             1024              1000      0.098       1.30        10.44          0.130       0.091       0.210     
256        256             2048              1000      0.117       2.19        17.50          0.416       0.110       0.274     
512        512             4096              1000      0.162       3.15        25.23          0.246       0.158       0.325     
1024       1024            8192              1000      0.232       4.41        35.31          0.360       0.225       0.364     
2048       2048            16384             1000      0.385       5.32        42.57          0.580       0.382       0.735     
4096       4096            32768             1000      0.744       5.51        44.05          0.947       0.710       1.352     
8192       8192            65536             1000      1.375       5.96        47.67          1.781       1.348       1.880     
16384      16384           131072            1000      2.881       5.69        45.49          237.465     2.569       4.337     
32768      32768           262144            1000      5.322       6.16        49.25          6.145       5.125       8.140     
65536      65536           524288            1000      10.743      6.10        48.80          85.544      10.331      14.999    
131072     131072          1048576           1000      21.084      6.22        49.73          26.673      20.579      28.661    
262144     262144          2097152           1000      41.692      6.29        50.30          53.653      40.707      57.530    
524288     524288          4194304           1000      149.007     3.52        28.15          171.635     128.183     165.560   
1048576    1048576         8388608           1000      319.841     3.28        26.23          347.804     312.925     318.724   

