the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               12                1000      0.082       0.01        0.15           0.299       0.078       0.202     
2          2               24                1000      0.079       0.03        0.30           0.107       0.078       0.177     
4          4               48                1000      0.088       0.05        0.55           0.322       0.079       0.442     
8          8               96                1000      0.092       0.09        1.05           0.285       0.082       0.113     
16         16              192               1000      0.081       0.20        2.36           0.309       0.079       0.177     
32         32              384               1000      0.083       0.38        4.61           0.401       0.081       0.105     
64         64              768               1000      0.087       0.73        8.78           0.255       0.086       0.095     
128        128             1536              1000      0.099       1.29        15.54          0.364       0.096       0.328     
256        256             3072              1000      1.225       0.21        2.51           1098.432    0.118       0.354     
512        512             6144              1000      0.167       3.07        36.79          0.219       0.162       0.266     
1024       1024            12288             1000      0.296       3.46        41.50          0.608       0.270       0.293     
2048       2048            24576             1000      0.533       3.84        46.11          0.924       0.483       1.093     
4096       4096            49152             1000      1.087       3.77        45.20          1.752       0.928       1.535     
8192       8192            98304             1000      2.541       3.22        38.68          6.291       2.039       6.754     
16384      16384           196608            1000      6.247       2.62        31.47          12.778      5.405       14.104    
32768      32768           393216            1000      23.514      1.39        16.72          34.477      21.072      35.162    
65536      65536           786432            1000      58.881      1.11        13.36          71.903      55.277      69.445    
131072     131072          1572864           1000      136.383     0.96        11.53          164.505     131.756     149.056   
262144     262144          3145728           1000      275.408     0.95        11.42          299.140     269.969     311.847   
524288     524288          6291456           1000      663.487     0.79        9.48           689.457     647.209     680.442   
1048576    1048576         12582912          1000      1000.529    1.05        12.58          1035.948    986.519     1013.483  

