the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          2               8                 1000      0.145       0.01        0.06           2.100       0.060       0.800     
2          4               16                1000      0.142       0.03        0.11           0.440       0.060       0.740     
4          8               32                1000      0.150       0.05        0.21           0.480       0.060       0.760     
8          16              64                1000      0.152       0.11        0.42           0.360       0.080       0.900     
16         32              128               1000      0.138       0.23        0.93           0.520       0.080       0.860     
32         64              256               1000      0.139       0.46        1.84           0.600       0.080       0.520     
64         128             512               1000      0.113       1.13        4.52           0.280       0.080       0.460     
128        256             1024              1000      0.130       1.98        7.91           0.700       0.100       0.900     
256        512             2048              1000      0.205       2.50        10.00          0.500       0.180       1.020     
512        1024            4096              1000      0.267       3.84        15.34          0.620       0.240       1.640     
1024       2048            8192              1000      0.516       3.97        15.87          1.340       0.480       1.640     
2048       4096            16384             1000      1.101       3.72        14.88          2.540       1.040       3.240     
4096       8192            32768             1000      2.861       2.86        11.46          9.440       2.720       6.000     
8192       16384           65536             1000      4.792       3.42        13.68          289.640     4.280       10.660    
16384      32768           131072            1000      10.139      3.23        12.93          21.780      9.440       26.600    
32768      65536           262144            1000      17.317      3.78        15.14          44.880      16.700      44.040    
65536      131072          524288            1000      43.483      3.01        12.06          129.480     41.060      101.360   
131072     262144          1048576           1000      224.347     1.17        4.67           324.780     202.700     209.740   
262144     524288          2097152           1000      668.296     0.78        3.14           742.920     401.240     677.280   
524288     1048576         4194304           1000      758.841     1.38        5.53           884.080     743.680     734.300   
1048576    2097152         8388608           1000      1471.592    1.43        5.70           1741.080    1449.400    1463.080  

