the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          2               8                 1000      0.425       0.00        0.02           0.640       0.360       0.420     
2          4               16                1000      0.429       0.01        0.04           0.600       0.380       0.960     
4          8               32                1000      0.429       0.02        0.07           0.700       0.380       0.700     
8          16              64                1000      0.435       0.04        0.15           0.640       0.360       0.740     
16         32              128               1000      0.446       0.07        0.29           0.600       0.400       0.580     
32         64              256               1000      0.477       0.13        0.54           0.620       0.400       0.960     
64         128             512               1000      0.552       0.23        0.93           0.820       0.480       0.980     
128        256             1024              1000      0.668       0.38        1.53           0.820       0.600       0.980     
256        512             2048              1000      0.930       0.55        2.20           1.280       0.880       1.360     
512        1024            4096              1000      1.465       0.70        2.80           8.620       1.400       1.680     
1024       2048            8192              1000      2.487       0.82        3.29           2.980       2.420       2.700     
2048       4096            16384             1000      4.541       0.90        3.61           10.360      4.460       4.840     
4096       8192            32768             1000      8.682       0.94        3.77           15.780      8.600       9.420     
8192       16384           65536             1000      17.096      0.96        3.83           25.340      16.820      18.000    
16384      32768           131072            1000      33.313      0.98        3.93           42.960      33.180      36.920    
32768      65536           262144            1000      66.305      0.99        3.95           82.360      65.960      73.160    
65536      131072          524288            1000      132.729     0.99        3.95           164.540     131.500     137.120   
131072     262144          1048576           1000      317.152     0.83        3.31           363.540     309.440     281.200   
262144     524288          2097152           1000      575.330     0.91        3.65           602.940     569.120     565.540   
524288     1048576         4194304           1000      1130.597    0.93        3.71           1192.240    1120.440    1120.720  
1048576    2097152         8388608           1000      2243.417    0.93        3.74           2604.260    2227.160    2230.400  

