the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               12                1000      0.052       0.02        0.23           0.060       0.040       0.080     
2          2               24                1000      0.054       0.04        0.45           0.080       0.040       0.080     
4          4               48                1000      0.054       0.07        0.90           0.060       0.040       0.140     
8          8               96                1000      0.055       0.15        1.75           0.060       0.040       0.060     
16         16              192               1000      0.057       0.28        3.40           0.080       0.040       0.080     
32         32              384               1000      0.061       0.52        6.25           0.080       0.060       0.080     
64         64              768               1000      0.071       0.90        10.79          0.080       0.060       0.260     
128        128             1536              1000      0.097       1.32        15.89          0.120       0.080       0.260     
256        256             3072              1000      0.151       1.70        20.41          0.180       0.140       0.240     
512        512             6144              1000      0.242       2.12        25.43          0.260       0.240       0.600     
1024       1024            12288             1000      0.445       2.30        27.60          11.940      0.420       1.100     
2048       2048            24576             1000      0.894       2.29        27.48          1.000       0.860       3.060     
4096       4096            49152             1000      1.664       2.46        29.53          3.880       1.640       5.900     
8192       8192            98304             1000      4.928       1.66        19.95          13.140      4.800       10.720    
16384      16384           196608            1000      11.122      1.47        17.68          37.540      10.040      32.980    
32768      32768           393216            1000      21.230      1.54        18.52          48.220      20.620      66.980    
65536      65536           786432            1000      63.925      1.03        12.30          146.740     50.400      176.320   
131072     131072          1572864           1000      87.623      1.50        17.95          271.740     83.480      323.820   
262144     262144          3145728           1000      385.486     0.68        8.16           762.780     356.640     608.300   
524288     524288          6291456           1000      1109.119    0.47        5.67           1553.480    1086.160    1235.380  
1048576    1048576         12582912          1000      2197.268    0.48        5.73           2712.880    2166.360    2512.700  

