the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               12                1000      0.504       0.00        0.02           1.060       0.460       1.580     
2          2               24                1000      0.512       0.00        0.05           0.860       0.480       1.100     
4          4               48                1000      0.518       0.01        0.09           0.900       0.460       1.620     
8          8               96                1000      0.498       0.02        0.19           0.780       0.460       1.620     
16         16              192               1000      0.511       0.03        0.38           6.340       0.460       1.600     
32         32              384               1000      0.524       0.06        0.73           7.460       0.460       1.300     
64         64              768               1000      0.527       0.12        1.46           0.820       0.500       1.060     
128        128             1536              1000      0.563       0.23        2.73           1.040       0.520       0.960     
256        256             3072              1000      0.644       0.40        4.77           1.360       0.600       1.460     
512        512             6144              1000      0.826       0.62        7.44           1.960       0.780       1.740     
1024       1024            12288             1000      1.162       0.88        10.57          10.580      1.100       1.820     
2048       2048            24576             1000      2.380       0.86        10.33          3.200       1.740       4.220     
4096       4096            49152             1000      2.949       1.39        16.67          9.040       2.860       6.680     
8192       8192            98304             1000      5.427       1.51        18.12          14.020      5.300       16.500    
16384      16384           196608            1000      11.790      1.39        16.68          37.020      11.580      35.400    
32768      32768           393216            1000      20.319      1.61        19.35          83.160      19.360      65.700    
65536      65536           786432            1000      99.610      0.66        7.90           144.580     86.720      125.440   
131072     131072          1572864           1000      224.341     0.58        7.01           282.940     215.600     215.140   
262144     262144          3145728           1000      475.811     0.55        6.61           514.460     464.020     450.400   
524288     524288          6291456           1000      900.357     0.58        6.99           956.340     888.100     891.400   
1048576    1048576         12582912          1000      2187.064    0.48        5.75           2330.220    2128.540    2206.040  

