the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               12                1000      0.146       0.01        0.08           0.360       0.060       0.340     
2          2               24                1000      0.160       0.01        0.15           0.340       0.100       0.740     
4          4               48                1000      0.151       0.03        0.32           0.300       0.100       0.740     
8          8               96                1000      0.162       0.05        0.59           0.460       0.100       0.700     
16         16              192               1000      0.165       0.10        1.17           0.440       0.080       0.180     
32         32              384               1000      0.175       0.18        2.20           0.340       0.100       0.880     
64         64              768               1000      0.185       0.35        4.16           0.720       0.140       0.460     
128        128             1536              1000      0.221       0.58        6.94           0.400       0.200       0.700     
256        256             3072              1000      0.337       0.76        9.11           0.660       0.300       0.940     
512        512             6144              1000      0.599       0.85        10.26          0.820       0.560       2.040     
1024       1024            12288             1000      1.086       0.94        11.32          7.820       1.020       3.520     
2048       2048            24576             1000      2.178       0.94        11.28          8.540       2.100       6.000     
4096       4096            49152             1000      3.889       1.05        12.64          5.200       3.800       11.880    
8192       8192            98304             1000      7.593       1.08        12.95          14.420      7.440       20.020    
16384      16384           196608            1000      41.970      0.39        4.68           4558.660    36.360      235.560   
32768      32768           393216            1000      53.920      0.61        7.29           774.020     50.460      57.640    
65536      65536           786432            1000      157.027     0.42        5.01           6812.620    94.400      111.040   
131072     131072          1572864           1000      294.520     0.45        5.34           15950.740   246.180     274.600   
262144     262144          3145728           1000      659.020     0.40        4.77           15541.860   523.080     499.000   
524288     524288          6291456           1000      1211.790    0.43        5.19           16309.400   1089.300    1136.220  
1048576    1048576         12582912          1000      2440.517    0.43        5.16           9644.980    2348.020    2391.240  

