the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          2               8                 1000      0.311       0.01        0.03           11.360      0.260       0.540     
2          4               16                1000      0.304       0.01        0.05           0.540       0.240       0.840     
4          8               32                1000      0.288       0.03        0.11           0.520       0.220       0.740     
8          16              64                1000      0.288       0.06        0.22           0.660       0.240       0.460     
16         32              128               1000      0.286       0.11        0.45           0.660       0.220       0.960     
32         64              256               1000      0.288       0.22        0.89           0.660       0.240       0.640     
64         128             512               1000      0.296       0.43        1.73           0.660       0.240       0.740     
128        256             1024              1000      0.320       0.80        3.20           7.340       0.280       1.280     
256        512             2048              1000      0.378       1.35        5.41           0.700       0.320       0.780     
512        1024            4096              1000      0.449       2.28        9.12           0.900       0.380       1.120     
1024       2048            8192              1000      0.659       3.11        12.44          1.320       0.620       1.940     
2048       4096            16384             1000      1.058       3.87        15.48          1.960       1.000       2.800     
4096       8192            32768             1000      1.980       4.14        16.55          9.880       1.860       6.300     
8192       16384           65536             1000      3.656       4.48        17.92          7.840       3.480       12.100    
16384      32768           131072            1000      7.102       4.61        18.46          15.340      6.860       25.620    
32768      65536           262144            1000      13.625      4.81        19.24          37.440      13.020      55.120    
65536      131072          524288            1000      37.525      3.49        13.97          112.420     29.180      120.140   
131072     262144          1048576           1000      199.690     1.31        5.25           253.860     187.120     189.180   
262144     524288          2097152           1000      371.416     1.41        5.65           405.280     363.020     349.920   
524288     1048576         4194304           1000      730.011     1.44        5.75           766.720     716.420     706.120   
1048576    2097152         8388608           1000      1349.184    1.55        6.22           1421.680    1334.760    1345.140  

