the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               12                1000      0.491       0.00        0.02           0.760       0.440       0.640     
2          2               24                1000      0.504       0.00        0.05           0.900       0.460       0.940     
4          4               48                1000      0.516       0.01        0.09           1.020       0.460       1.040     
8          8               96                1000      0.519       0.02        0.18           0.820       0.500       1.020     
16         16              192               1000      0.535       0.03        0.36           0.720       0.500       0.800     
32         32              384               1000      0.566       0.06        0.68           1.020       0.520       0.700     
64         64              768               1000      0.641       0.10        1.20           1.420       0.580       0.920     
128        128             1536              1000      0.764       0.17        2.01           2.420       0.680       1.100     
256        256             3072              1000      0.937       0.27        3.28           1.220       0.920       1.740     
512        512             6144              1000      1.471       0.35        4.18           14.640      1.320       1.600     
1024       1024            12288             1000      2.279       0.45        5.39           11.840      2.200       2.620     
2048       2048            24576             1000      4.005       0.51        6.14           10.280      3.920       5.320     
4096       4096            49152             1000      7.588       0.54        6.48           18.320      7.400       10.560    
8192       8192            98304             1000      14.439      0.57        6.81           23.080      14.300      23.040    
16384      16384           196608            1000      28.538      0.57        6.89           38.660      28.220      43.980    
32768      32768           393216            1000      61.509      0.53        6.39           90.860      59.540      98.780    
65536      65536           786432            1000      181.709     0.36        4.33           314.420     161.440     170.300   
131072     131072          1572864           1000      393.160     0.33        4.00           420.360     380.300     407.080   
262144     262144          3145728           1000      752.177     0.35        4.18           1118.040    729.960     730.940   
524288     524288          6291456           1000      1468.893    0.36        4.28           1937.840    1448.720    1473.580  
1048576    1048576         12582912          1000      2296.623    0.46        5.48           2868.460    2181.520    2331.640  

