the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点�?    计算�?         总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          6               24                1000      0.411       0.01        0.06           1.044       0.407       1.968     
2          12              48                1000      0.412       0.03        0.12           0.894       0.409       1.307     
4          24              96                1000      0.475       0.05        0.20           1.028       0.469       2.081     
8          48              192               1000      0.418       0.11        0.46           0.976       0.413       0.937     
16         96              384               1000      0.428       0.22        0.90           0.905       0.424       0.967     
32         192             768               1000      0.455       0.42        1.69           0.958       0.449       1.687     
64         384             1536              1000      0.520       0.74        2.95           1.103       0.501       0.997     
128        768             3072              1000      0.620       1.24        4.95           1.141       0.602       1.358     
256        1536            6144              1000      0.819       1.88        7.50           1.351       0.806       1.819     
512        3072            12288             1000      1.256       2.45        9.79           5.658       1.230       2.351     
1024       6144            24576             1000      2.152       2.85        11.42          3.340       2.052       2.836     
2048       12288           49152             1000      3.740       3.29        13.14          4.736       3.679       5.480     
4096       24576           98304             1000      7.456       3.30        13.18          8.694       7.010       9.275     
8192       49152           196608            1000      14.582      3.37        13.48          21.337      13.759      21.997    
16384      98304           393216            1000      27.652      3.56        14.22          34.537      26.830      29.123    
32768      196608          786432            1000      54.066      3.64        14.55          59.740      53.238      55.543    
65536      393216          1572864           1000      106.373     3.70        14.79          112.660     105.420     108.328   
131072     786432          3145728           1000      211.460     3.72        14.88          220.674     210.056     212.923   
262144     1572864         6291456           1000      422.273     3.72        14.90          433.676     420.452     423.769   
524288     3145728         12582912          1000      840.169     3.74        14.98          851.711     837.835     840.287   
1048576    6291456         25165824          1000      2019.568    3.12        12.46          2045.995    2011.690    2019.499  

