the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.217       0.00        0.04           0.410       0.205       0.862     
2          2               16                1000      0.219       0.01        0.07           0.430       0.206       0.364     
4          4               32                1000      0.221       0.02        0.14           0.361       0.208       0.539     
8          8               64                1000      0.224       0.04        0.29           0.442       0.212       0.602     
16         16              128               1000      0.232       0.07        0.55           0.435       0.220       0.376     
32         32              256               1000      0.245       0.13        1.04           0.318       0.232       0.349     
64         64              512               1000      0.274       0.23        1.87           0.502       0.262       0.519     
128        128             1024              1000      0.332       0.39        3.08           0.411       0.321       0.620     
256        256             2048              1000      0.448       0.57        4.57           0.493       0.437       0.692     
512        512             4096              1000      0.699       0.73        5.86           1.127       0.677       0.902     
1024       1024            8192              1000      1.164       0.88        7.04           1.303       1.143       1.385     
2048       2048            16384             1000      2.095       0.98        7.82           2.166       2.075       2.367     
4096       4096            32768             1000      4.062       1.01        8.07           4.493       3.940       4.371     
8192       8192            65536             1000      7.738       1.06        8.47           8.225       7.662       8.179     
16384      16384           131072            1000      15.184      1.08        8.63           20.829      15.120      15.633    
32768      32768           262144            1000      30.167      1.09        8.69           36.187      30.057      30.484    
65536      65536           524288            1000      59.979      1.09        8.74           65.746      59.852      60.333    
131072     131072          1048576           1000      119.606     1.10        8.77           128.039     119.411     120.350   
262144     262144          2097152           1000      239.307     1.10        8.76           253.533     238.667     239.405   
524288     524288          4194304           1000      477.706     1.10        8.78           487.445     477.009     478.017   
1048576    1048576         8388608           1000      955.593     1.10        8.78           1024.320    954.076     966.083   

