the current thread cpu affinity is 0xffffffffffffffff, policy is 0, priority is 0
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.211       0.00        0.04           0.360       0.100       0.520     
2          2               16                1000      0.243       0.01        0.07           0.440       0.140       0.740     
4          4               32                1000      0.262       0.02        0.12           0.400       0.180       0.620     
8          8               64                1000      0.354       0.02        0.18           0.560       0.320       0.720     
16         16              128               1000      1.137       0.01        0.11           628.800     0.480       0.700     
32         32              256               1000      0.845       0.04        0.30           1.180       0.840       1.320     
64         64              512               1000      1.580       0.04        0.32           12.940      1.540       2.180     
128        128             1024              1000      2.906       0.04        0.35           3.100       2.880       3.240     
256        256             2048              1000      5.677       0.05        0.36           33.700      5.620       6.360     
512        512             4096              1000      11.169      0.05        0.37           45.780      11.060      11.220    
1024       1024            8192              1000      22.192      0.05        0.37           46.160      22.020      22.600    
2048       2048            16384             1000      44.242      0.05        0.37           190.120     43.820      44.280    
4096       4096            32768             1000      88.371      0.05        0.37           143.860     87.660      87.980    
8192       8192            65536             1000      176.556     0.05        0.37           208.220     175.600     176.720   
16384      16384           131072            1000      352.070     0.05        0.37           389.740     350.360     354.540   
32768      32768           262144            1000      704.557     0.05        0.37           1005.580    701.080     706.360   
65536      65536           524288            1000      1408.098    0.05        0.37           1556.880    1403.700    1517.180  
131072     131072          1048576           1000      2857.537    0.05        0.37           2942.280    2833.800    3034.980  
262144     262144          2097152           1000      5643.853    0.05        0.37           5694.340    5630.400    6133.260  
524288     524288          4194304           1000      11518.778   0.05        0.36           11637.560   11495.400   11522.720 
1048576    1048576         8388608           1000      23058.265   0.05        0.36           23271.480   23003.060   23050.420 

