the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          2               8                 1000      0.097       0.02        0.08           0.305       0.096       0.594     
2          4               16                1000      0.097       0.04        0.16           0.300       0.082       0.146     
4          8               32                1000      0.096       0.08        0.34           0.136       0.081       0.201     
8          16              64                1000      0.097       0.17        0.66           0.310       0.085       0.303     
16         32              128               1000      0.101       0.32        1.27           0.206       0.087       0.475     
32         64              256               1000      0.109       0.59        2.36           0.157       0.097       0.330     
64         128             512               1000      0.124       1.03        4.14           0.260       0.113       0.279     
128        256             1024              1000      0.155       1.66        6.63           0.369       0.145       0.343     
256        512             2048              1000      0.214       2.39        9.56           0.544       0.209       0.366     
512        1024            4096              1000      0.338       3.03        12.13          0.549       0.332       0.624     
1024       2048            8192              1000      0.576       3.56        14.23          0.816       0.567       0.858     
2048       4096            16384             1000      1.063       3.85        15.41          2.247       1.055       1.366     
4096       8192            32768             1000      2.103       3.90        15.58          13.706      2.019       2.701     
8192       16384           65536             1000      4.213       3.89        15.56          13.179      3.985       5.210     
16384      32768           131072            1000      11.181      2.93        11.72          12.596      9.603       10.031    
32768      65536           262144            1000      19.363      3.38        13.54          1245.935    16.743      21.663    
65536      131072          524288            1000      39.684      3.30        13.21          448.752     37.341      47.677    
131072     262144          1048576           1000      71.856      3.65        14.59          260.129     68.713      93.214    
262144     524288          2097152           1000      201.855     2.60        10.39          406.276     183.399     253.509   
524288     1048576         4194304           1000      427.356     2.45        9.81           503.929     420.212     428.976   
1048576    2097152         8388608           1000      878.186     2.39        9.55           941.180     865.191     895.038   

