the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               12                1000      0.490       0.00        0.02           0.780       0.440       0.920     
2          2               24                1000      0.517       0.00        0.05           0.700       0.480       1.900     
4          4               48                1000      0.529       0.01        0.09           0.820       0.480       1.820     
8          8               96                1000      0.485       0.02        0.20           0.860       0.440       2.260     
16         16              192               1000      0.493       0.03        0.39           0.940       0.460       1.700     
32         32              384               1000      0.499       0.06        0.77           0.800       0.460       1.880     
64         64              768               1000      0.509       0.13        1.51           1.440       0.460       2.840     
128        128             1536              1000      0.553       0.23        2.78           0.820       0.520       2.060     
256        256             3072              1000      0.658       0.39        4.67           0.880       0.600       1.820     
512        512             6144              1000      0.809       0.63        7.59           1.500       0.760       1.960     
1024       1024            12288             1000      1.135       0.90        10.83          10.200      1.080       2.760     
2048       2048            24576             1000      2.229       0.92        11.03          2.920       1.700       4.460     
4096       4096            49152             1000      2.934       1.40        16.76          51.700      2.820       7.240     
8192       8192            98304             1000      5.360       1.53        18.34          23.560      5.260       15.800    
16384      16384           196608            1000      11.785      1.39        16.68          57.220      11.560      37.840    
32768      32768           393216            1000      19.659      1.67        20.00          64.040      19.300      67.240    
65536      65536           786432            1000      103.672     0.63        7.59           154.640     95.740      125.800   
131072     131072          1572864           1000      231.075     0.57        6.81           282.480     224.200     230.880   
262144     262144          3145728           1000      523.144     0.50        6.01           546.500     510.140     514.840   
524288     524288          6291456           1000      1664.243    0.32        3.78           1779.080    998.440     1732.780  
1048576    1048576         12582912          1000      2321.779    0.45        5.42           2396.740    2284.600    2368.540  

