the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          2               8                 1000      0.123       0.02        0.07           0.300       0.060       0.740     
2          4               16                1000      0.125       0.03        0.13           0.280       0.060       0.960     
4          8               32                1000      0.148       0.05        0.22           0.320       0.080       0.460     
8          16              64                1000      0.155       0.10        0.41           0.700       0.060       1.060     
16         32              128               1000      0.122       0.26        1.05           0.320       0.060       0.520     
32         64              256               1000      0.113       0.56        2.26           0.500       0.080       0.480     
64         128             512               1000      0.118       1.08        4.33           0.480       0.080       0.960     
128        256             1024              1000      0.128       2.00        8.00           0.380       0.100       0.620     
256        512             2048              1000      0.186       2.76        11.03          0.720       0.160       0.700     
512        1024            4096              1000      0.252       4.06        16.24          0.880       0.220       1.360     
1024       2048            8192              1000      0.439       4.67        18.67          0.860       0.400       1.700     
2048       4096            16384             1000      0.903       4.53        18.14          1.480       0.840       2.840     
4096       8192            32768             1000      1.779       4.61        18.42          3.500       1.700       4.960     
8192       16384           65536             1000      3.809       4.30        17.21          195.380     3.280       9.880     
16384      32768           131072            1000      6.782       4.83        19.33          13.540      6.600       25.460    
32768      65536           262144            1000      13.067      5.02        20.06          108.180     12.520      52.420    
65536      131072          524288            1000      40.497      3.24        12.95          179.360     32.480      113.100   
131072     262144          1048576           1000      161.147     1.63        6.51           230.000     150.420     192.640   
262144     524288          2097152           1000      371.314     1.41        5.65           449.600     358.800     349.920   
524288     1048576         4194304           1000      746.978     1.40        5.62           874.680     733.140     726.380   
1048576    2097152         8388608           1000      1435.023    1.46        5.85           1715.300    1413.360    1417.440  

