the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               12                1000      0.096       0.01        0.12           0.260       0.040       0.260     
2          2               24                1000      0.118       0.02        0.20           0.280       0.060       0.220     
4          4               48                1000      0.116       0.03        0.41           0.280       0.060       0.280     
8          8               96                1000      0.117       0.07        0.82           0.280       0.080       0.700     
16         16              192               1000      0.107       0.15        1.79           0.580       0.080       0.420     
32         32              384               1000      0.145       0.22        2.64           0.380       0.120       0.600     
64         64              768               1000      0.224       0.29        3.43           0.380       0.200       0.800     
128        128             1536              1000      0.384       0.33        4.00           0.580       0.360       0.720     
256        256             3072              1000      0.704       0.36        4.37           0.820       0.680       1.320     
512        512             6144              1000      1.372       0.37        4.48           1.800       1.360       1.760     
1024       1024            12288             1000      2.671       0.38        4.60           2.960       2.640       3.160     
2048       2048            24576             1000      5.261       0.39        4.67           15.680      5.220       5.820     
4096       4096            49152             1000      10.392      0.39        4.73           16.820      10.340      16.800    
8192       8192            98304             1000      20.737      0.40        4.74           27.900      20.580      24.640    
16384      16384           196608            1000      41.213      0.40        4.77           54.440      41.040      42.260    
32768      32768           393216            1000      82.918      0.40        4.74           135.040     82.020      100.060   
65536      65536           786432            1000      211.401     0.31        3.72           283.180     195.980     180.800   
131072     131072          1572864           1000      358.678     0.37        4.39           400.660     351.780     357.500   
262144     262144          3145728           1000      776.225     0.34        4.05           829.700     762.300     775.920   
524288     524288          6291456           1000      1387.373    0.38        4.53           1485.960    1376.640    1400.720  
1048576    1048576         12582912          1000      2848.919    0.37        4.42           3015.220    2820.260    2854.040  

