the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点�?    计算�?         总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          6               24                1000      0.164       0.04        0.15           0.282       0.162       0.744     
2          12              48                1000      0.160       0.07        0.30           0.386       0.158       0.345     
4          24              96                1000      0.160       0.15        0.60           0.225       0.158       0.643     
8          48              192               1000      0.161       0.30        1.19           0.267       0.159       0.479     
16         96              384               1000      0.164       0.58        2.34           0.303       0.162       0.800     
32         192             768               1000      0.171       1.12        4.50           0.233       0.168       0.387     
64         384             1536              1000      0.183       2.10        8.41           0.487       0.173       0.552     
128        768             3072              1000      0.207       3.72        14.88          0.392       0.201       0.586     
256        1536            6144              1000      0.273       5.62        22.47          0.432       0.263       0.909     
512        3072            12288             1000      0.393       7.82        31.29          0.810       0.371       0.672     
1024       6144            24576             1000      0.662       9.28        37.13          0.981       0.635       1.118     
2048       12288           49152             1000      1.122       10.95       43.80          1.452       1.074       2.112     
4096       24576           98304             1000      1.994       12.32       49.29          2.378       1.913       3.394     
8192       49152           196608            1000      4.552       10.80       43.20          9.510       4.298       6.670     
16384      98304           393216            1000      9.376       10.48       41.94          14.952      8.896       12.544    
32768      196608          786432            1000      18.961      10.37       41.48          24.489      17.924      24.433    
65536      393216          1572864           1000      42.338      9.29        37.15          49.344      39.561      54.119    
131072     786432          3145728           1000      86.696      9.07        36.28          99.251      80.681      103.970   
262144     1572864         6291456           1000      238.700     6.59        26.36          247.910     235.074     241.118   
524288     3145728         12582912          1000      510.357     6.16        24.66          519.327     497.783     505.832   
1048576    6291456         25165824          1000      1334.441    4.71        18.86          1670.459    1323.240    1332.548  

