the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          2               8                 1000      0.232       0.01        0.03           0.277       0.218       0.828     
2          4               16                1000      0.233       0.02        0.07           0.451       0.221       0.668     
4          8               32                1000      0.230       0.03        0.14           0.364       0.219       0.433     
8          16              64                1000      0.233       0.07        0.27           0.485       0.222       0.340     
16         32              128               1000      0.240       0.13        0.53           0.295       0.229       0.330     
32         64              256               1000      0.254       0.25        1.01           0.567       0.243       0.701     
64         128             512               1000      0.284       0.45        1.80           0.531       0.271       0.401     
128        256             1024              1000      0.342       0.75        2.99           0.550       0.330       0.639     
256        512             2048              1000      0.458       1.12        4.47           0.717       0.446       0.818     
512        1024            4096              1000      0.702       1.46        5.83           1.016       0.688       0.828     
1024       2048            8192              1000      1.193       1.72        6.87           1.545       1.154       1.530     
2048       4096            16384             1000      2.302       1.78        7.12           2.717       2.089       2.535     
4096       8192            32768             1000      4.154       1.97        7.89           11.849      3.958       5.056     
8192       16384           65536             1000      8.841       1.85        7.41           15.224      8.095       10.670    
16384      32768           131072            1000      15.250      2.15        8.59           22.517      15.146      15.556    
32768      65536           262144            1000      30.211      2.17        8.68           38.942      30.062      31.022    
65536      131072          524288            1000      59.991      2.18        8.74           67.657      59.844      60.755    
131072     262144          1048576           1000      119.676     2.19        8.76           127.611     119.437     120.946   
262144     524288          2097152           1000      239.455     2.19        8.76           251.059     238.741     241.866   
524288     1048576         4194304           1000      487.455     2.15        8.60           516.935     484.355     497.066   
1048576    2097152         8388608           1000      981.481     2.14        8.55           1017.655    975.402     980.188   

