the current thread cpu affinity is 0xffffffffffffffff, policy is 0, priority is 0
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.442       0.00        0.02           0.780       0.400       1.000     
2          2               16                1000      0.450       0.00        0.04           0.860       0.400       0.860     
4          4               32                1000      0.480       0.01        0.07           0.880       0.440       1.260     
8          8               64                1000      0.556       0.01        0.12           10.700      0.480       1.580     
16         16              128               1000      0.715       0.02        0.18           3.420       0.660       2.680     
32         32              256               1000      0.979       0.03        0.26           5.200       0.940       3.280     
64         64              512               1000      1.557       0.04        0.33           2.000       1.520       3.520     
128        128             1024              1000      2.741       0.05        0.37           33.840      2.640       3.800     
256        256             2048              1000      4.959       0.05        0.41           14.200      4.860       6.460     
512        512             4096              1000      9.171       0.06        0.45           39.820      9.080       10.820    
1024       1024            8192              1000      17.756      0.06        0.46           127.960     17.480      18.880    
2048       2048            16384             1000      35.325      0.06        0.46           63.580      35.140      36.400    
4096       4096            32768             1000      70.727      0.06        0.46           188.580     70.120      86.360    
8192       8192            65536             1000      141.428     0.06        0.46           213.440     140.580     159.640   
16384      16384           131072            1000      281.914     0.06        0.46           330.300     280.720     320.500   
32768      32768           262144            1000      561.810     0.06        0.47           601.460     560.380     621.900   
65536      65536           524288            1000      1136.526    0.06        0.46           1255.960    1123.680    1207.980  
131072     131072          1048576           1000      2304.963    0.06        0.45           2412.280    2247.640    2263.720  
262144     262144          2097152           1000      4508.086    0.06        0.47           4700.840    4439.940    4523.640  
524288     524288          4194304           1000      9212.280    0.06        0.46           9473.400    9177.360    9226.840  
1048576    1048576         8388608           1000      18420.830   0.06        0.46           18849.820   18358.640   18396.480 

