the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               12                1000      0.075       0.01        0.16           0.092       0.075       0.691     
2          2               24                1000      0.076       0.03        0.32           0.083       0.076       0.304     
4          4               48                1000      0.075       0.05        0.64           0.105       0.075       0.500     
8          8               96                1000      0.076       0.11        1.26           0.080       0.076       0.460     
16         16              192               1000      0.078       0.21        2.46           0.094       0.078       0.475     
32         32              384               1000      0.083       0.39        4.62           0.096       0.082       0.315     
64         64              768               1000      0.095       0.67        8.08           0.106       0.095       0.468     
128        128             1536              1000      0.122       1.05        12.59          0.132       0.121       0.544     
256        256             3072              1000      0.171       1.50        17.96          0.180       0.171       0.625     
512        512             6144              1000      0.275       1.86        22.34          0.282       0.274       0.657     
1024       1024            12288             1000      0.481       2.13        25.55          0.485       0.480       0.638     
2048       2048            24576             1000      0.886       2.31        27.74          0.886       0.878       1.127     
4096       4096            49152             1000      1.693       2.42        29.03          1.715       1.691       2.220     
8192       8192            98304             1000      3.367       2.43        29.20          3.398       3.337       3.830     
16384      16384           196608            1000      6.643       2.47        29.60          6.707       6.583       7.501     
32768      32768           393216            1000      13.210      2.48        29.77          21.990      13.161      14.786    
65536      65536           786432            1000      27.972      2.34        28.11          40.791      27.062      28.832    
131072     131072          1572864           1000      56.730      2.31        27.73          77.637      53.420      58.929    
262144     262144          3145728           1000      109.593     2.39        28.70          136.871     106.694     114.715   
524288     524288          6291456           1000      235.336     2.23        26.73          302.898     223.562     237.030   
1048576    1048576         12582912          1000      462.611     2.27        27.20          605.011     446.851     461.992   

