the current thread cpu affinity is 0xffffffff, policy is 0, priority is 0
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.088       0.01        0.09           0.094       0.088       0.195     
2          2               16                1000      0.100       0.02        0.16           0.148       0.100       0.294     
4          4               32                1000      0.125       0.03        0.26           0.126       0.120       0.357     
8          8               64                1000      0.167       0.05        0.38           0.274       0.162       0.291     
16         16              128               1000      0.246       0.06        0.52           0.260       0.244       0.504     
32         32              256               1000      0.433       0.07        0.59           5.962       0.423       0.619     
64         64              512               1000      0.759       0.08        0.67           0.904       0.752       0.908     
128        128             1024              1000      1.420       0.09        0.72           1.487       1.412       1.531     
256        256             2048              1000      2.753       0.09        0.74           9.898       2.730       2.860     
512        512             4096              1000      6.217       0.08        0.66           834.766     5.369       5.588     
1024       1024            8192              1000      13.203      0.08        0.62           2522.298    10.663      10.834    
2048       2048            16384             1000      21.307      0.10        0.77           29.114      21.252      21.532    
4096       4096            32768             1000      43.237      0.09        0.76           537.130     42.409      42.584    
8192       8192            65536             1000      85.259      0.10        0.77           257.967     84.895      85.284    
16384      16384           131072            1000      170.064     0.10        0.77           301.706     169.326     169.790   
32768      32768           262144            1000      340.893     0.10        0.77           737.819     338.740     338.707   
65536      65536           524288            1000      686.082     0.10        0.76           835.286     677.241     803.843   
131072     131072          1048576           1000      1356.224    0.10        0.77           1379.897    1353.526    1381.367  
262144     262144          2097152           1000      2716.285    0.10        0.77           2841.158    2706.261    2779.139  
524288     524288          4194304           1000      5521.138    0.09        0.76           5623.107    5506.360    5612.897  
1048576    1048576         8388608           1000      11046.077   0.09        0.76           11175.331   11027.119   11050.588 

