the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               12                1000      0.083       0.01        0.14           0.125       0.081       0.340     
2          2               24                1000      0.087       0.02        0.28           0.115       0.083       0.204     
4          4               48                1000      0.093       0.04        0.52           0.326       0.089       0.105     
8          8               96                1000      0.112       0.07        0.86           0.142       0.102       0.127     
16         16              192               1000      0.172       0.09        1.12           0.401       0.141       0.194     
32         32              384               1000      0.265       0.12        1.45           0.494       0.195       0.289     
64         64              768               1000      0.451       0.14        1.70           0.511       0.315       0.499     
128        128             1536              1000      0.838       0.15        1.83           0.902       0.578       0.850     
256        256             3072              1000      1.614       0.16        1.90           1.817       1.071       1.688     
512        512             6144              1000      3.184       0.16        1.93           9.879       2.066       2.140     
1024       1024            12288             1000      6.326       0.16        1.94           11.981      4.015       3.826     
2048       2048            24576             1000      12.650      0.16        1.94           18.254      9.956       13.451    
4096       4096            49152             1000      25.075      0.16        1.96           31.039      16.083      24.511    
8192       8192            98304             1000      49.733      0.16        1.98           55.837      29.504      52.361    
16384      16384           196608            1000      99.424      0.16        1.98           109.122     59.588      91.392    
32768      32768           393216            1000      199.880     0.16        1.97           216.209     113.418     198.668   
65536      65536           786432            1000      415.902     0.16        1.89           443.382     296.645     409.229   
131072     131072          1572864           1000      836.665     0.16        1.88           890.860     707.810     813.609   
262144     262144          3145728           1000      1622.030    0.16        1.94           1727.913    1368.197    1590.744  
524288     524288          6291456           1000      3305.412    0.16        1.90           3771.461    2855.248    3202.156  
1048576    1048576         12582912          1000      7235.696    0.14        1.74           8309.980    6348.392    6664.370  

