the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.088       0.01        0.09           0.240       0.040       0.060     
2          2               16                1000      0.105       0.02        0.15           0.400       0.040       0.160     
4          4               32                1000      0.106       0.04        0.30           0.240       0.060       0.080     
8          8               64                1000      0.063       0.13        1.01           0.300       0.040       0.180     
16         16              128               1000      0.065       0.25        1.97           0.200       0.040       0.160     
32         32              256               1000      0.066       0.48        3.87           0.200       0.040       0.140     
64         64              512               1000      0.073       0.87        6.97           0.140       0.060       0.120     
128        128             1024              1000      0.095       1.34        10.74          0.260       0.080       0.160     
256        256             2048              1000      0.157       1.63        13.06          0.200       0.140       0.280     
512        512             4096              1000      0.238       2.15        17.19          0.380       0.220       0.620     
1024       1024            8192              1000      0.421       2.43        19.46          7.300       0.380       0.780     
2048       2048            16384             1000      0.838       2.44        19.55          1.340       0.800       2.600     
4096       4096            32768             1000      1.653       2.48        19.82          2.480       1.600       4.640     
8192       8192            65536             1000      3.256       2.52        20.13          5.740       3.200       9.480     
16384      16384           131072            1000      6.313       2.60        20.76          30.820      6.160       23.180    
32768      32768           262144            1000      12.189      2.69        21.51          40.720      12.060      47.640    
65536      65536           524288            1000      25.455      2.57        20.60          104.400     23.560      98.460    
131072     131072          1048576           1000      164.561     0.80        6.37           187.780     129.420     135.060   
262144     262144          2097152           1000      306.261     0.86        6.85           351.920     297.720     275.940   
524288     524288          4194304           1000      532.205     0.99        7.88           566.900     520.880     532.040   
1048576    1048576         8388608           1000      972.549     1.08        8.63           1024.040    962.440     967.900   

