the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               12                1000      0.263       0.00        0.05           0.421       0.260       0.578     
2          2               24                1000      0.265       0.01        0.09           0.326       0.262       0.486     
4          4               48                1000      0.267       0.01        0.18           0.523       0.264       0.539     
8          8               96                1000      0.271       0.03        0.35           0.630       0.268       0.739     
16         16              192               1000      0.278       0.06        0.69           0.471       0.275       0.551     
32         32              384               1000      0.293       0.11        1.31           0.548       0.289       0.419     
64         64              768               1000      0.323       0.20        2.38           0.476       0.319       0.738     
128        128             1536              1000      0.399       0.32        3.85           0.693       0.392       0.628     
256        256             3072              1000      0.548       0.47        5.60           0.937       0.538       0.712     
512        512             6144              1000      0.854       0.60        7.19           1.225       0.851       1.113     
1024       1024            12288             1000      1.457       0.70        8.43           1.859       1.432       1.877     
2048       2048            24576             1000      2.658       0.77        9.24           3.241       2.602       3.455     
4096       4096            49152             1000      5.036       0.81        9.76           5.762       4.960       5.764     
8192       8192            98304             1000      9.938       0.82        9.89           10.867      9.712       11.514    
16384      16384           196608            1000      22.976      0.71        8.56           29.658      20.721      24.252    
32768      32768           393216            1000      41.430      0.79        9.49           52.944      40.059      43.855    
65536      65536           786432            1000      80.250      0.82        9.80           92.534      77.727      83.959    
131072     131072          1572864           1000      154.546     0.85        10.18          167.608     152.964     156.311   
262144     262144          3145728           1000      303.696     0.86        10.36          316.969     302.444     303.865   
524288     524288          6291456           1000      604.340     0.87        10.41          618.566     600.971     604.040   
1048576    1048576         12582912          1000      1198.513    0.87        10.50          1214.533    1196.330    1198.099  

