the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               12                1000      0.284       0.00        0.04           0.489       0.272       0.629     
2          2               24                1000      0.286       0.01        0.08           0.367       0.285       0.474     
4          4               48                1000      0.287       0.01        0.17           0.533       0.277       0.689     
8          8               96                1000      0.291       0.03        0.33           0.544       0.281       0.555     
16         16              192               1000      0.298       0.05        0.64           0.413       0.296       0.596     
32         32              384               1000      0.312       0.10        1.23           0.545       0.301       0.527     
64         64              768               1000      0.343       0.19        2.24           0.409       0.327       0.667     
128        128             1536              1000      0.415       0.31        3.70           0.579       0.412       0.597     
256        256             3072              1000      0.560       0.46        5.49           0.805       0.542       0.686     
512        512             6144              1000      0.872       0.59        7.05           1.098       0.856       1.147     
1024       1024            12288             1000      1.460       0.70        8.42           1.774       1.455       1.652     
2048       2048            24576             1000      2.753       0.74        8.93           3.202       2.620       2.988     
4096       4096            49152             1000      5.146       0.80        9.55           10.950      4.950       5.249     
8192       8192            98304             1000      10.117      0.81        9.72           10.779      9.730       10.828    
16384      16384           196608            1000      19.626      0.83        10.02          25.122      19.204      20.898    
32768      32768           393216            1000      37.725      0.87        10.42          43.909      37.582      38.112    
65536      65536           786432            1000      75.049      0.87        10.48          83.410      74.864      75.835    
131072     131072          1572864           1000      149.601     0.88        10.51          156.665     149.368     150.027   
262144     262144          3145728           1000      298.976     0.88        10.52          311.840     298.342     299.370   
524288     524288          6291456           1000      598.476     0.88        10.51          609.584     596.794     598.918   
1048576    1048576         12582912          1000      1194.845    0.88        10.53          1206.749    1193.070    1193.673  

