the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          2               8                 1000      0.302       0.01        0.03           0.840       0.240       1.060     
2          4               16                1000      0.305       0.01        0.05           0.600       0.260       1.300     
4          8               32                1000      0.303       0.03        0.11           0.620       0.260       1.520     
8          16              64                1000      0.313       0.05        0.20           0.660       0.260       1.520     
16         32              128               1000      0.300       0.11        0.43           0.700       0.220       1.000     
32         64              256               1000      0.316       0.20        0.81           6.860       0.260       1.680     
64         128             512               1000      0.316       0.41        1.62           0.500       0.280       1.120     
128        256             1024              1000      0.335       0.77        3.06           0.740       0.300       1.080     
256        512             2048              1000      0.388       1.32        5.28           0.640       0.360       0.980     
512        1024            4096              1000      0.483       2.12        8.48           1.140       0.420       1.300     
1024       2048            8192              1000      0.678       3.02        12.08          1.120       0.640       2.380     
2048       4096            16384             1000      1.096       3.74        14.95          2.060       1.040       3.580     
4096       8192            32768             1000      2.000       4.10        16.38          3.400       1.920       7.100     
8192       16384           65536             1000      3.619       4.53        18.11          7.260       3.520       10.360    
16384      32768           131072            1000      7.055       4.64        18.58          17.680      6.900       23.340    
32768      65536           262144            1000      14.027      4.67        18.69          178.720     13.080      47.060    
65536      131072          524288            1000      38.769      3.38        13.52          165.980     28.880      107.320   
131072     262144          1048576           1000      178.263     1.47        5.88           276.640     167.660     176.340   
262144     524288          2097152           1000      445.922     1.18        4.70           507.500     438.120     456.740   
524288     1048576         4194304           1000      931.200     1.13        4.50           1302.480    914.060     894.440   
1048576    2097152         8388608           1000      1835.825    1.14        4.57           2053.020    1817.220    1830.380  

