the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               12                1000      0.115       0.01        0.10           0.280       0.100       0.120     
2          2               24                1000      0.116       0.02        0.21           0.380       0.100       0.320     
4          4               48                1000      0.108       0.04        0.45           0.240       0.080       0.360     
8          8               96                1000      0.110       0.07        0.87           0.320       0.100       0.640     
16         16              192               1000      0.110       0.15        1.74           0.280       0.060       0.340     
32         32              384               1000      0.119       0.27        3.22           0.280       0.080       0.140     
64         64              768               1000      0.127       0.50        6.04           0.620       0.080       0.480     
128        128             1536              1000      0.149       0.86        10.32          0.300       0.120       0.380     
256        256             3072              1000      0.225       1.14        13.68          0.400       0.200       0.380     
512        512             6144              1000      0.325       1.58        18.90          0.600       0.280       0.820     
1024       1024            12288             1000      0.567       1.81        21.67          1.140       0.520       1.240     
2048       2048            24576             1000      1.778       1.15        13.82          2.860       1.220       2.420     
4096       4096            49152             1000      2.586       1.58        19.01          3.460       2.520       4.980     
8192       8192            98304             1000      5.174       1.58        19.00          13.340      5.040       11.640    
16384      16384           196608            1000      11.143      1.47        17.64          20.360      10.900      27.680    
32768      32768           393216            1000      21.503      1.52        18.29          61.920      20.680      104.740   
65536      65536           786432            1000      105.010     0.62        7.49           187.560     90.440      181.080   
131072     131072          1572864           1000      395.865     0.33        3.97           444.420     387.860     372.880   
262144     262144          3145728           1000      1075.579    0.24        2.92           6344.220    975.320     969.380   
524288     524288          6291456           1000      2105.235    0.25        2.99           13071.200   1930.940    1930.600  
1048576    1048576         12582912          1000      4709.007    0.22        2.67           11756.020   4416.740    4344.320  

