the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          2               8                 1000      0.421       0.00        0.02           0.720       0.360       0.640     
2          4               16                1000      0.447       0.01        0.04           9.740       0.360       0.820     
4          8               32                1000      0.439       0.02        0.07           0.600       0.380       0.860     
8          16              64                1000      0.444       0.04        0.14           0.880       0.380       1.520     
16         32              128               1000      0.465       0.07        0.28           9.560       0.400       0.780     
32         64              256               1000      0.481       0.13        0.53           0.780       0.420       0.880     
64         128             512               1000      0.559       0.23        0.92           0.860       0.480       1.100     
128        256             1024              1000      0.678       0.38        1.51           1.060       0.620       0.960     
256        512             2048              1000      0.936       0.55        2.19           1.360       0.880       1.280     
512        1024            4096              1000      1.453       0.70        2.82           1.680       1.420       1.920     
1024       2048            8192              1000      2.500       0.82        3.28           10.400      2.440       3.380     
2048       4096            16384             1000      4.553       0.90        3.60           12.720      4.460       5.020     
4096       8192            32768             1000      8.788       0.93        3.73           21.680      8.600       10.020    
8192       16384           65536             1000      16.905      0.97        3.88           26.660      16.820      18.640    
16384      32768           131072            1000      33.385      0.98        3.93           42.520      33.200      52.680    
32768      65536           262144            1000      66.295      0.99        3.95           76.760      65.980      74.700    
65536      131072          524288            1000      132.575     0.99        3.95           173.260     131.520     143.520   
131072     262144          1048576           1000      342.801     0.76        3.06           363.240     325.100     315.400   
262144     524288          2097152           1000      604.822     0.87        3.47           643.160     595.700     592.600   
524288     1048576         4194304           1000      1182.499    0.89        3.55           1484.940    1163.160    1168.780  
1048576    2097152         8388608           1000      2334.736    0.90        3.59           2778.760    2308.300    2316.140  

